Rank,Scaffold,Pareto Optimal,Primary Model,Verified,Accuracy,Accuracy CI,Cost (USD),Cost CI,Runs
1,Scicode Zero Shot Agent,Yes,o4-mini Low (April 2025),Yes,9.23%,,$1.74,,1
2,Scicode Tool Calling Agent,No,o3 Medium (April 2025),Yes,9.23%,,$111.11,,1
3,Scicode Tool Calling Agent,No,Claude Opus 4.1 (August 2025),Yes,7.69%,,$625.13,,1
4,Scicode Tool Calling Agent,No,Claude Opus 4.1 High (August 2025),Yes,6.92%,"(-0.77/+0.77)",$550.54,"(-42.81/+42.81)",2
5,Scicode Zero Shot Agent,No,GPT-4.1 (April 2025),Yes,6.15%,,$2.82,,1
6,Scicode Zero Shot Agent,No,o4-mini High (April 2025),Yes,6.15%,,$5.37,,1
7,HAL Generalist Agent,No,o4-mini Low (April 2025),Yes,6.15%,,$165.90,,1
8,Scicode Tool Calling Agent,No,GPT-5 Medium (August 2025),Yes,6.15%,,$193.52,,1
9,Scicode Zero Shot Agent,No,o3 Medium (April 2025),Yes,4.62%,,$6.03,,1
10,Scicode Tool Calling Agent,No,o4-mini Low (April 2025),Yes,4.62%,,$46.30,,1
11,Scicode Tool Calling Agent,No,o4-mini High (April 2025),Yes,4.62%,,$66.20,,1
12,Scicode Tool Calling Agent,No,Claude-3.7 Sonnet High (February 2025),Yes,4.62%,,$204.37,,1
13,Scicode Zero Shot Agent,No,DeepSeek V3 (March 2025),Yes,3.08%,,$0.79,,1
14,Scicode Zero Shot Agent,No,Claude-3.7 Sonnet High (February 2025),Yes,3.08%,,$4.99,,1
15,HAL Generalist Agent,No,Claude-3.7 Sonnet (February 2025),Yes,3.08%,,$60.40,,1
16,HAL Generalist Agent,No,o3 Medium (April 2025),Yes,3.08%,,$66.98,,1
17,Scicode Tool Calling Agent,No,Claude Sonnet 4.5 (September 2025),Yes,3.08%,,$104.29,,1
18,HAL Generalist Agent,No,Claude-3.7 Sonnet High (February 2025),Yes,3.08%,,$188.15,,1
19,Scicode Tool Calling Agent,No,Claude-3.7 Sonnet (February 2025),Yes,3.08%,,$191.41,,1
20,Scicode Zero Shot Agent,Yes,Gemini 2.0 Flash (February 2025),Yes,1.54%,,$0.12,,1
21,Scicode Tool Calling Agent,No,Gemini 2.0 Flash (February 2025),Yes,1.54%,,$5.23,,1
22,Scicode Tool Calling Agent,No,GPT-4.1 (April 2025),Yes,1.54%,,$69.39,,1
23,HAL Generalist Agent,No,GPT-4.1 (April 2025),Yes,1.54%,,$73.87,,1
24,HAL Generalist Agent,No,o4-mini High (April 2025),Yes,1.54%,,$92.10,,1
25,Scicode Tool Calling Agent,No,Claude Sonnet 4.5 High (September 2025),Yes,1.54%,,$118.14,,1
26,Scicode Zero Shot Agent,No,DeepSeek R1 (May 2025),Yes,0.00%,,$2.19,,1
27,Scicode Zero Shot Agent,No,Claude-3.7 Sonnet (February 2025),Yes,0.00%,,$5.10,,1
28,Scicode Tool Calling Agent,No,DeepSeek V3 (March 2025),Yes,0.00%,,$52.11,,1
29,Scicode Tool Calling Agent,No,DeepSeek R1 (May 2025),Yes,0.00%,,$57.62,,1
30,HAL Generalist Agent,No,Gemini 2.0 Flash (February 2025),Yes,0.00%,,$61.49,,1
31,HAL Generalist Agent,No,DeepSeek V3 (March 2025),Yes,0.00%,,$219.36,,1
32,Scicode Tool Calling Agent,No,Claude Haiku 4.5 (October 2025),Yes,0.00%,,$232.36,,1
33,HAL Generalist Agent,No,DeepSeek R1 (January 2025),Yes,0.00%,,$486.78,,1
